GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
23569        1   17308195   17364004    131      18  184305      0.97456      0.16489
353238       1   17372196   17401699    135      11  184305      0.32409      0.37294
55920        1   17406755   17439754    135      13  184305    -0.061078      0.52435
55160        1   17520197   17697875    887      67  184305      0.54309      0.29354
81569        1   17712000   17827063    395      22  184305       1.3468     0.089029
84966        1   18107746   18378484    946      88  184305     -0.38203      0.64878
127707       1   18480930   18485999     12       5  184305      0.16498      0.43448
5081         1   18631006   18748866    434      58  184305        1.614     0.053262
80834        1   18839599   18859661     97      18  184305      0.52244      0.30068
8659         1   18871430   18902799    107      11  184305       0.6707      0.25121
126917       1   18904280   18956667    168      17  184305      0.36368      0.35805
23352        1   19074506   19210319    708      68  184305      -1.5941      0.94454
23065        1   19215664   19251559    135      23  184305       1.0833      0.13933
51154        1   19251581   19260128     30       8  184305       -1.405         0.92
22977        1   19274325   19289346     69       9  184305      -1.8437      0.96739
8574         1   19302708   19312146     37       4  184305      -2.2389      0.98742
54896        1   19312246   19332431    121       8  184305      -1.6008      0.94529
832          1   19338773   19485641    432      32  184305      -2.0661      0.98059
440574       1   19596977   19629821    142      12  184305      -1.5801      0.94296
100532736    1   19596977   19658456    266      27  184305      0.11424      0.45452
4681         1   19643229   19658456     77      11  184305       0.7985      0.21229
3362         1   19665287   19680966     60      12  184305       0.7437      0.22853
255104       1   19682213   19800353    446      22  184305    -0.051214      0.52042
54546        1   19814029   19815278      2       1  184305      -1.1676      0.87852
23252        1   19881702   19912945    133      17  184305     -0.67603      0.75049
30814        1   19920307   19923617      9       4  184305    -0.041776      0.51666
5320         1   19975431   19980439     16       4  184305      -1.0015      0.84171
5322         1   20028339   20091901    187      36  184305      -1.3133      0.90547
26279        1   20112650   20119566     10       4  184305     -0.94736      0.82827
64600        1   20139326   20150386     64      16  184305     -0.91872      0.82088
105376824    1   20163076   20163980      6       2  184305        2.362    0.0090891
391013       1   20163991   20175194     38       7  184305       2.1917       0.0142
127733       1   20183302   20196048     54      12  184305       1.5146     0.064935
127731       1   20290907   20360221    230      37  184305     -0.83572      0.79834
55450        1   20482391   20486235      5       3  184305      0.37718      0.35302
79594        1   20499448   20508181     21       8  184305      0.12184      0.45151
163933       1   20552439   20555020      4       2  184305       1.3547     0.087755
978          1   20588951   20618908    143      17  184305      0.59162      0.27705
65018        1   20633455   20651511     76      17  184305      0.32974       0.3708
1650         1   20651767   20661544     33       6  184305      0.79954      0.21199
57576        1   20661643   20718017    161      24  184305     -0.36487       0.6424
400745       1   20719731   20732640     31       7  184305     -0.64926      0.74192
50809        1   20742677   20787310    108      28  184305     -0.46944      0.68062
8672         1   20806292   21177320   1232      83  184305     -0.38787      0.65095
1889         1   21217247   21345541    269      19  184305      0.17916      0.42891
84224        1   21435318   21484900     95      11  184305      0.40968      0.34102
249          1   21508982   21578412    173      19  184305     -0.44453      0.67167
5909         1   21596215   21669375    199      24  184305     -0.32262      0.62651
84196        1   21678298   21783199    396      39  184305     -0.34995      0.63681
401944       1   21812265   21825221     51      11  184305      0.41128      0.34043
3339         1   21822232   21937297    477      48  184305      -0.5153      0.69683
23436        1   21976925   21998642     85      23  184305       1.1681      0.12138
10136        1   22001656   22012542     41      19  184305      0.91024      0.18135
998          1   22052627   22092943    138      15  184305       3.1697   0.00076288
54361        1   22117305   22143981    106      24  184305       2.4053    0.0080791
9923         1   22428838   22531157    403      50  184305     -0.19552      0.57751
2046         1   22563508   22603594    191      30  184305      0.43312      0.33246
712          1   22636625   22639682     11       5  184305      -1.5501      0.93944
714          1   22643625   22648110      8       4  184305     -0.35984      0.64052
713          1   22653179   22661552     27       8  184305      0.85672       0.1958
2048         1   22710770   22915330    525      66  184305       1.1842      0.11816
646262       1   22953043   22972316     71       8  184305       -0.194      0.57691
729059       1   23010834   23015850      9       3  184305     -0.72928      0.76708
23028        1   23019443   23083691    130      22  184305      -1.2035      0.88561
7798         1   23084023   23177808    260      27  184305     -0.29238        0.615
10236        1   23304688   23344650     77       8  184305       1.0068      0.15701
80818        1   23359448   23369864     15       4  184305       1.5035      0.06635
6920         1   23380909   23424779     57       6  184305      0.62408      0.26629
55616        1   23428563   23484567     95      13  184305       1.4179     0.078104
1870         1   23505974   23531250    101       8  184305       2.0148     0.021965
3399         1   23557930   23559794      5       2  184305      0.24215      0.40433
6135         1   23691779   23696425     11       3  184305       1.0918      0.13746
6924         1   23743366   23762059     47       8  184305     0.064662      0.47422
57095        1   23778386   23788232     16       4  184305      0.58174      0.28037
11313        1   23790785   23795539     14       5  184305      0.39747      0.34551
2582         1   23795599   23800804      7       3  184305       1.2896     0.098595
3155         1   23801877   23825459     82       8  184305     -0.30891      0.62131
2517         1   23845077   23868369     48       9  184305      -1.3923      0.91809
1269         1   23873463   23913327     89      14  184305    0.0085761      0.49658
55629        1   23959811   23963462      2       1  184305     0.018218      0.49273
10772        1   23964347   23980463     51      14  184305      0.68537      0.24655
127294       1   24056041   24112175     46      13  184305      -1.2853      0.90066
58985        1   24119771   24143285     21       4  184305     -0.39048      0.65191
163702       1   24154157   24187275     52       5  184305      -1.0206      0.84627
57822        1   24319322   24364482      9       4  184305     -0.23902      0.59445
90529        1   24356999   24415497    202      19  184305     -0.07496      0.52988
57185        1   24413674   24472983    177      29  184305      -1.5067      0.93405
11123        1   24502351   24537020    139      28  184305     -0.30177      0.61859
400746       1   24556076   24609328    167      22  184305       -1.535      0.93761
10250        1   24643012   24673281     69      21  184305     -0.28376       0.6117
25932        1   24745269   24844324    257      23  184305     -0.96297      0.83222
864          1   24899511   24965157    217      26  184305     -0.43967      0.66991
25949        1   25222276   25232522     22       8  184305      0.37164      0.35508
57035        1   25242249   25267915     48       8  184305      0.73462      0.23129
6007         1   25272393   25330445    215      27  184305       -0.202      0.58004
23585        1   25338298   25362361     80      17  184305      -0.2671       0.6053
6006         1   25360659   25430192    314      31  184305       0.9375      0.17425
55219        1   25430858   25500209    198      21  184305      -1.5772      0.94263
26119        1   25543580   25591287     23      10  184305      0.89786      0.18463
57134        1   25617468   25786207    180      10  184305      0.81717      0.20691
57190        1   25800176   25818222     21       2  184305        1.585      0.05648
56181        1   25819906   25832942     16       2  184305       1.6443     0.050056
79000        1   25831913   25859458     28       2  184305      0.66141      0.25417
164091       1   25861484   25876707     24       3  184305      -1.1472      0.87435
3925         1   25884186   25906877     51       5  184305      -1.1472      0.87434
5051         1   25959764   25998581     52       7  184305      -1.7389      0.95897
2134         1   26021741   26036464     31       5  184305    -0.076348      0.53043
7780         1   26038022   26046138      9       1  184305      0.45469      0.32467
105376910    1   26045895   26049057      3       1  184305       0.3501      0.36313
84676        1   26051304   26067634     26       3  184305       0.1791      0.42893
149420       1   26111165   26125548     31       5  184305      0.86212      0.19431
79927        1   26159008   26162628      3       1  184305     -0.36573      0.64272
105376887    1   26165313   26169802     15       2  184305     -0.93057      0.82396
51042        1   26169897   26170873      5       1  184305     -0.58911      0.72211
10256        1   26177490   26189884     24       2  184305     -0.95409      0.82998
378807       1   26190587   26202542      8       3  184305      -0.7407      0.77056
64793        1   26234153   26279038     75       7  184305       2.0416     0.020595
83442        1   26279722   26281522      7       1  184305     -0.39027      0.65183
91544        1   26282282   26318265     86       7  184305       2.3427    0.0095713
1043         1   26317920   26320523      3       1  184305       1.6268     0.051892
55057        1   26321859   26354130     58      10  184305       2.5524    0.0053496
257101       1   26361632   26374533     29       5  184305       1.1138      0.13268
79727        1   26410778   26429728     28       3  184305      -0.1917      0.57601
79947        1   26432282   26471306     70       3  184305     -0.54369      0.70667
3151         1   26472411   26476642     13       2  184305     -0.67259       0.7494
6195         1   26529758   26575030    161      13  184305     -0.27163      0.60705
101928728    1   26692063   26696405     10       3  184305     -0.59297       0.7234
8289         1   26696031   26782110    242      38  184305     -0.31754      0.62458
55650        1   26787963   26798403     14       5  184305     -0.23536      0.59304
84243        1   26826710   26855720     71      11  184305      0.11668      0.45356
54707        1   26879382   26890378     19       4  184305      0.33082      0.37039
63906        1   26890488   26901065     30       4  184305      0.21551      0.41468
10726        1   26911128   26946871     43       7  184305     -0.50912      0.69467
8431         1   26911484   26914076      7       2  184305     -0.47033      0.68094
126695       1   26949556   26960484      5       3  184305      0.28247      0.38879
388610       1   26993667   27000886     13       6  184305     -0.98172      0.83688
115572       1   27005020   27012842      5       2  184305     -0.58703      0.72141
6548         1   27098809   27155130     53       8  184305     -0.50797      0.69426
23038        1   27234516   27308633     94      11  184305      0.11874      0.45274
84065        1   27322145   27336400     15       3  184305     -0.47708      0.68335
84958        1   27341992   27353932     11       4  184305     -0.20357      0.58065
9064         1   27355179   27368014     39       2  184305     -0.43991         0.67
8547         1   27369110   27374825     17       4  184305     -0.76865      0.77895
388611       1   27379100   27383333      9       3  184305     -0.74254      0.77112
2827         1   27392644   27395814     10       2  184305      -1.4059      0.92013
10163        1   27404226   27490187    109      11  184305      -1.2246      0.88965
27245        1   27534245   27604178    122      14  184305      0.32112      0.37406
2268         1   27612289   27635561     22       7  184305      0.30904      0.37865
2537         1   27666061   27672213     18       7  184305     -0.29382      0.61555
199870       1   27725979   27762915     47       6  184305       1.1799      0.11903
23673        1   27773183   27824452     81       5  184305       1.2075      0.11361
5511         1   27830741   27851672     41       5  184305       1.6359     0.050926
9473         1   27872543   27886685     12       3  184305       1.1902      0.11698
6118         1   27891524   27914797     22       3  184305     -0.26357      0.60394
27293        1   27934948   27959157     46       8  184305      -1.6122      0.94654
55113        1   27959462   27968096     13       3  184305     -0.59166      0.72296
2140         1   27970344   28088675    233      15  184305     -0.96024      0.83153
5724         1   28147166   28193936     56       7  184305      -1.1891      0.88281
22826        1   28200278   28233031    100      10  184305     -0.24318      0.59607
93974        1   28236091   28238105      6       2  184305     -0.21407      0.58475
83667        1   28259452   28282491     78      10  184305      0.58577      0.27901
54797        1   28329002   28335967     19       6  184305      0.64539      0.25934
65979        1   28369582   28500369    267      37  184305      0.66368      0.25345
1104         1   28505943   28539196     80      11  184305       1.1917       0.1167
54952        1   28553017   28578545     93       8  184305      0.91066      0.18124
115273       1   28592200   28594586      2       1  184305        1.507     0.065905
6883         1   28603096   28643109     97      15  184305      0.13671      0.44563
10691        1   28668722   28715603    147       5  184305     -0.74695      0.77245
105376911    1   28677907   28681528      5       2  184305      -2.3322      0.99015
51441        1   28736621   28769775     92       6  184305     -0.79457      0.78657
4985         1   28812142   28863696    128       8  184305     -0.94936      0.82878
2035         1   28887091   29120046    325      21  184305      -1.3857      0.91708
399474       1   29119425   29129134     38       5  184305     -0.01445      0.50576
6429         1   29147738   29182125    121      12  184305     -0.88117      0.81089
51102        1   29167696   29230958    214      30  184305      -1.0919      0.86257
10076        1   29236516   29326813    167      20  184305     -0.97113      0.83426
4146         1   30711277   30723585     57       8  184305     -0.26265      0.60359
7805         1   30732468   30757836    136      15  184305      0.38343       0.3507
9672         1   30869466   30909735    141      21  184305     -0.20621      0.58169
9698         1   30931506   31065717    588      37  184305      0.69671      0.24299
79570        1   31179745   31239887    177      28  184305      -1.3883      0.91748
9410         1   31259568   31296797    112      19  184305     -0.16284      0.56468
51538        1   31296982   31365722    242      51  184305      -1.7737      0.96194
2170         1   31360418   31373283     35      10  184305     0.031162      0.48757
347735       1   31409565   31434680     50       9  184305      -1.7193      0.95722
64129        1   31576384   31587686     40       6  184305      0.18551      0.42642
3061         1   31617689   31632519     59       5  184305     0.034902      0.48608
553115       1   31629862   31645237     50       4  184305     -0.19786      0.57842
1307         1   31652247   31704167    204      14  184305      -1.2579      0.89579
576          1   31727105   31764063    100       8  184305      -1.7541       0.9603
90853        1   31790422   31816051     56       5  184305      -1.0185      0.84578
8073         1   31906421   31938387    119       5  184305      0.23509      0.40707
10657        1   32013694   32060859     97      20  184305       1.3147     0.094297
55116        1   32072031   32102866     58       5  184305    -0.066193      0.52639
23633        1   32108043   32176568    138      23  184305      0.45078      0.32607
200081       1   32179695   32198285     11       3  184305        1.455     0.072837
79140        1   32200386   32205390      7       4  184305        1.803     0.035695
56063        1   32204806   32222353     15       3  184305      0.99652       0.1595
55721        1   32205635   32208687      3       1  184305      0.84765      0.19832
149069       1   32209094   32216196      9       2  184305      0.56566      0.28581
8668         1   32221867   32231604     12       5  184305       0.2487       0.4018
84734        1   32247217   32248860      3       2  184305        1.082      0.13963
3932         1   32251239   32286170     62      12  184305      0.47983      0.31567
3065         1   32292107   32333628     82      14  184305      0.78336      0.21671
65108        1   32333829   32336239      8       2  184305      0.96177      0.16808
81629        1   32362261   32364325      2       1  184305      0.44611      0.32776
55108        1   32364633   32394461     39       8  184305      0.36332      0.35818
728116       1   32465057   32487859     17       4  184305      -1.1203       0.8687
653121       1   32539145   32605950     85       8  184305       1.4544     0.072915
339487       1   32620820   32651013     36       5  184305       1.2371      0.10802
5928         1   32651148   32686211     52      10  184305       1.1357      0.12805
81493        1   32679906   32702760     32       7  184305       1.1367      0.12784
57648        1   32741911   32774970     28      14  184305      0.51893      0.30191
8565         1   32775239   32818032     16      10  184305       0.7163       0.2369
64766        1   32816767   32858879     25      16  184305      0.27513      0.39161
252995       1   32862268   32872492      7       4  184305       0.9121      0.18086
3208         1   32886087   32894646     10       6  184305      0.46112      0.32236
113452       1   32894595   32901435     16       2  184305     -0.11338      0.54514
127544       1   32932498   32965266     30       7  184305      0.20122      0.42026
204          1   33007940   33036911     89       6  184305      -1.3316      0.90851
113451       1   33081110   33178892    220       8  184305      -1.1007      0.86449
55223        1   33145399   33182070     77       6  184305      -1.4831      0.93097
149076       1   33256307   33300720     71      10  184305        1.567     0.058554
127550       1   33306766   33321098     23       8  184305       1.7718     0.038213
1912         1   33323623   33430610    189      23  184305       1.3702     0.085319
7579         1   33472631   33500693     51       8  184305    0.0017919      0.49929
114784       1   33513999   34165842   1475      73  184305     0.020561       0.4918
127540       1   33860475   33864791     10       5  184305     -0.24208      0.59564
84970        1   34166883   34219131    135      21  184305      0.83661      0.20141
2709         1   34755046   34758512     13       4  184305      -2.3546      0.99073
127534       1   34759741   34763724     14       3  184305     -0.13443      0.55347
2707         1   34781189   34786366     14       4  184305      -1.4268      0.92318
2701         1   34792958   34795750     12       3  184305      0.90315      0.18322
113444       1   34850362   34859816     40       7  184305     -0.46309      0.67835
58512        1   34862120   34929585    266      36  184305     -0.88353      0.81153
100506144    1   34981526   34985347     11       4  184305     -0.10815      0.54306
9204         1   34986165   35031968     90      15  184305       0.6658      0.25277
79830        1   35059786   35115859    227      27  184305      0.60601      0.27225
6421         1   35176380   35193158     68      10  184305      0.98359      0.16266
9202         1   35268714   35421944    338      49  184305     -0.37005      0.64433
79932        1   35433490   35557670    162       4  184305     0.082268      0.46722
23154        1   35557792   35566779      8       1  184305     0.061969      0.47529
339488       1   35573370   35595328     17       3  184305     -0.20514      0.58127
