GENE	CHR	START	STOP	NSNPS	NPARAM	N	ZSTAT	P	Q_value
83938	10	75431458	76557375	1827	54	184305	3.7119	0.00010285	0.018761329333333333
10718	10	81875309	82987179	4019	170	184305	3.4937	0.00023816	0.0328411976119403
22986	10	104640837	105265250	1484	48	184305	3.9595	3.7548e-05	0.009911599200000001
3263	11	6431038	6441024	30	10	184305	3.435	0.00029627	0.039670123623188405
23075	11	9664077	9752991	340	19	184305	3.497	0.00023523	0.03268105218045113
406	11	13277727	13387811	322	31	184305	4.8203	7.1664e-07	0.00055175308
83786	11	65386570	65413525	45	12	184305	3.7173	0.0001007	0.018761329333333333
4312	11	102789910	102798235	24	7	184305	3.5843	0.00016899	0.027391203684210524
11176	12	56595596	56636816	48	16	184305	3.6718	0.0001204	0.02098821886792453
506	12	56638175	56646068	10	3	184305	3.8289	6.4359e-05	0.013570831136363636
10728	12	56663341	56688408	37	4	184305	3.7078	0.00010452	0.018761329333333333
4666	12	56712427	56726275	17	4	184305	3.8067	7.0404e-05	0.014454723466666668
5557	12	56731580	56752362	23	2	184305	3.704	0.00010611	0.018761329333333333
8630	12	56752449	56787790	22	11	184305	3.8613	5.6389e-05	0.01255368604819277
8550	12	111842228	111901619	57	7	184305	4.3944	5.5542e-06	0.0028508474333333333
89894	12	111894930	112013219	110	12	184305	4.6838	1.4081e-06	0.0009292454214285714
10961	12	112013348	112023220	9	2	184305	3.8905	5.002e-05	0.011699614683544303
80018	12	112026689	112109022	75	11	184305	4.2412	1.1117e-05	0.004465650565217391
10906	12	112125545	112153604	29	4	184305	4.1953	1.3627e-05	0.005245827208333334
283450	12	112160188	112382092	329	9	184305	3.7037	0.00010623	0.018761329333333333
6128	12	112405190	112418838	18	3	184305	3.6001	0.00015906	0.026242059642857144
5781	12	112418732	112509918	130	11	184305	3.5113	0.00022294	0.03193399472868217
22895	12	112791538	112898881	116	15	184305	3.3886	0.00035131	0.04603905092198582
80196	12	121400083	121424352	91	15	184305	4.0944	2.1167e-05	0.007111342290909091
114795	12	125186774	125662377	1726	159	184305	3.7361	9.346e-05	0.018371849787234044
105370362	13	110813203	110820209	31	6	184305	4.0795	2.2569e-05	0.007190172103448276
122953	14	75427806	75472701	83	10	184305	4.0657	2.3943e-05	0.007373645900000001
10538	14	75522441	75546992	54	6	184305	4.1086	1.9906e-05	0.006940057886792452
55640	14	75578597	75648169	133	9	184305	3.9902	3.3004e-05	0.009103310805970148
51466	14	100019387	100144236	472	49	184305	3.3683	0.00037822	0.04838814744827587
123099	14	100146416	100166882	38	9	184305	3.854	5.8105e-05	0.012781716547619046
4734	15	55826917	55993746	550	41	184305	3.435	0.00029626	0.039670123623188405
5923	15	78959947	79090873	464	17	184305	6.0464	7.4075e-10	1.5208420555555555e-06
342125	15	81332419	81374077	127	15	184305	3.5455	0.0001959	0.030317440487804877
11214	15	85380616	85749358	1355	79	184305	3.5049	0.00022839	0.03246300323076923
9564	16	75229030	75268053	249	26	184305	4.6276	1.8498e-06	0.001178641531034483
10428	16	75293710	75433512	600	24	184305	5.0367	2.3677e-07	0.00024305755888888892
124491	16	75443244	75464737	94	7	184305	4.3209	7.7701e-06	0.0035893976950000005
4166	16	75473124	75495434	100	11	184305	4.4795	3.7405e-06	0.0022295793225806456
1800	16	89613308	89640862	69	6	184305	3.7124	0.00010267	0.018761329333333333
146760	17	1934677	2025345	247	36	184305	4.4224	4.8814e-06	0.0025771002628571433
1801	17	2030137	2043431	32	5	184305	4.4472	4.3504e-06	0.002435960339393939
124641	17	2041983	2043431	1	1	184305	4.2712	9.72e-06	0.0041768874418604655
3090	17	2055099	2059687	13	3	184305	4.0846	2.2078e-05	0.007157145333333334
23293	17	2059839	2303813	690	37	184305	4.8727	5.505e-07	0.0004422669130434782
10743	17	17681473	17811453	172	13	184305	3.9175	4.4732e-05	0.01095186197368421
6720	17	17811349	17837017	44	5	184305	3.7065	0.00010508	0.018761329333333333
146691	17	17843508	17972470	209	11	184305	3.9671	3.6381e-05	0.009742726347826088
83450	17	17972780	18016889	97	9	184305	3.7559	8.6373e-05	0.017347829282608696
91647	17	17977781	18039169	122	10	184305	3.8708	5.4241e-05	0.012373644419753086
147179	17	40219304	40284136	135	21	184305	3.71	0.00010361	0.018761329333333333
990	17	40287689	40303161	34	4	184305	3.4445	0.00028607	0.03886765779411765
4222	17	43640389	43661954	23	4	184305	3.8423	6.0951e-05	0.013095960209302324
7484	17	46833201	46886775	155	17	184305	3.9235	4.3627e-05	0.01095186197368421
388394	17	46978156	46979248	4	2	184305	4.7925	8.2369e-07	0.0006088057528
996	17	47117697	47189312	129	27	184305	3.622	0.00014619	0.02478255798165138
124989	17	47323961	47441312	298	17	184305	3.3787	0.00036416	0.04705558377622377
22843	17	58755869	58985179	357	4	184305	4.2072	1.2929e-05	0.0050830225957446806
4591	17	58982638	59106905	77	4	184305	4.9376	3.9549e-07	0.000365393211
348235	17	59109947	59155439	13	5	184305	4.3237	7.6713e-06	0.0035893976950000005
55771	17	59155499	59206709	17	7	184305	4.4598	4.1009e-06	0.00236801344375
146779	17	62370218	62416479	151	16	184305	3.8479	5.9578e-05	0.012951556282352939
268	19	2249114	2252073	8	3	184305	3.4217	0.00031117	0.041199340714285715
1785	19	10718053	10831910	242	22	184305	4.1644	1.5607e-05	0.005885431551020408
10498	19	10871577	10922775	118	17	184305	3.936	4.143e-05	0.01078230338028169
6597	19	10960922	11062282	202	21	184305	5.6084	1.0213e-08	1.5726317833333333e-05
3949	19	11089362	11133830	119	13	184305	3.7034	0.00010637	0.018761329333333333
147841	19	11145498	11156002	33	9	184305	3.5774	0.00017349	0.027876071478260867
25959	19	11164267	11197567	132	12	184305	7.7846	3.4972e-15	2.154042053333333e-11
57572	19	11199293	11262501	244	28	184305	4.7415	1.0608e-06	0.000725980088888889
3718	19	17824780	17848071	100	12	184305	4.2479	1.079e-05	0.004430613777777778
6142	19	17859878	17863324	16	4	184305	4.2619	1.0136e-05	0.0042566592727272725
4680	19	41755421	41772211	35	7	184305	4.9252	4.2141e-07	0.00037080066571428574
1084	19	41796590	41811553	26	4	184305	3.56	0.00018543	0.029285261025641024
147719	19	41833686	41844862	9	3	184305	3.8279	6.463e-05	0.013570831136363636
63946	19	41844743	41852330	21	7	184305	4.514	3.1815e-06	0.0019595919
6223	19	41859918	41871416	27	5	184305	4.3259	7.5943e-06	0.0035893976950000005
973	19	41877120	41881372	8	3	184305	3.5202	0.00021563	0.03162231063492063
9138	19	41883173	41907454	55	5	184305	3.4462	0.00028432	0.03886765779411765
10848	19	45379634	45406349	99	21	184305	5.071	1.9783e-07	0.0002250837788235294
10849	19	45406209	45410766	10	4	184305	4.7764	8.9218e-07	0.0006340654630769231
11034	20	17569173	17608242	120	17	184305	3.7028	0.00010661	0.018761329333333333
170487	20	33666498	33668525	6	1	184305	3.3829	0.00035858	0.0466608538028169
101929728	22	30667582	30669016	2	1	184305	3.5338	0.00020479	0.030517013064516128
