PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000182873.5.wgt.RDat	ENSG00000182873.5	1	2184388	2184389	0.1641	rs2173049	 4.52	rs2503701	 7.85e-02	 -4.52	 0.83952	377	  1	top1	0.079	2e-05	-0.83952	4.01e-01
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000162585.16.wgt.RDat	ENSG00000162585.16	1	2212719	2212720	0.2735	rs2173049	 4.52	rs2460002	 9.69e-02	  4.98	 0.74987	374	374	susie	0.2	2.3e-12	 0.20881	8.35e-01
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000116151.13.wgt.RDat	ENSG00000116151.13	1	2391706	2391707	0.2359	rs2173049	 4.52	rs7545940	 1.70e-01	 -6.13	-0.59370	346	  1	top1	0.17	2.2e-10	 0.59370	5.53e-01
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000215912.12.wgt.RDat	ENSG00000215912.12	1	2801716	2801717	0.1506	rs2173049	 4.52	rs10910105	 7.17e-02	  4.74	-0.82383	370	  1	top1	0.072	4.5e-05	-0.82383	4.10e-01
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000116213.15.wgt.RDat	ENSG00000116213.15	1	3652760	3652761	0.3779	rs2493292	 3.86	rs12408890	 8.75e-02	 -5.32	 0.23799	544	544	susie	0.15	5.4e-09	-1.20128	2.30e-01
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000116198.12.wgt.RDat	ENSG00000116198.12	1	3857213	3857214	0.3738	rs2493292	 3.86	rs6663840	 1.57e-01	 -6.53	 0.99352	573	  5	lasso	0.22	1.9e-13	-0.63434	5.26e-01
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000198912.10.wgt.RDat	ENSG00000198912.10	1	3900284	3900285	0.4371	rs2493292	 3.86	rs7367066	 2.37e-01	 -7.21	 0.78221	585	  2	lasso	0.25	6e-15	-0.79426	4.27e-01
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000131697.17.wgt.RDat	ENSG00000131697.17	1	5992361	5992362	0.2574	rs4908874	-2.54	rs12120967	 3.87e-02	 -4.95	 0.07079	508	508	susie	0.097	2.2e-06	 0.13753	8.91e-01
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000041988.15.wgt.RDat	ENSG00000041988.15	1	6624865	6624866	0.2783	rs6686587	 3.00	rs6678681	 1.82e-01	  6.43	 0.58094	437	437	susie	0.19	1.8e-11	 0.19334	8.47e-01
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000269978.1.wgt.RDat	ENSG00000269978.1	1	7700969	7700970	0.2045	rs228690	-3.40	rs2051646	-4.57e-03	  3.56	 1.39224	465	465	susie	0.02	0.022	 2.54765	1.08e-02
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000049245.12.wgt.RDat	ENSG00000049245.12	1	7771268	7771269	0.1961	rs228690	-3.40	rs10462021	 1.83e-01	  6.35	 0.29094	459	  1	top1	0.18	4e-11	 0.29094	7.71e-01
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000049239.12.wgt.RDat	ENSG00000049239.12	1	9234774	9234775	0.2696	rs3737669	 3.49	rs1294015	 3.45e-02	  4.48	 1.86304	430	 13	enet	0.086	8.5e-06	 0.07840	9.38e-01
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000175279.21.wgt.RDat	ENSG00000175279.21	1	10430782	10430783	0.3014	rs7555879	 2.82	rs544289	 1.03e-01	  6.03	 1.07459	381	 13	enet	0.14	6.3e-09	 1.33179	1.83e-01
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000160049.11.wgt.RDat	ENSG00000160049.11	1	10472525	10472526	0.2016	rs7555879	 2.82	rs7543322	-3.02e-04	 -4.28	 0.90584	399	 12	enet	0.0043	0.17	-0.53304	5.94e-01
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000116663.10.wgt.RDat	ENSG00000116663.10	1	11664123	11664124	0.2277	rs11121742	 3.05	rs747862	 1.27e-02	 -4.72	-0.68520	456	 18	enet	0.072	4.2e-05	 0.18395	8.54e-01
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000011021.21.wgt.RDat	ENSG00000011021.21	1	11807130	11807131	0.1739	rs3766730	-3.39	rs1023252	 4.84e-02	  4.46	 2.16100	477	  1	top1	0.048	0.00072	 2.16100	3.07e-02
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000242349.5.wgt.RDat	ENSG00000242349.5	1	11843703	11843704	0.3309	rs3766730	-3.39	rs198405	 2.15e-01	 -6.80	-1.00110	473	  1	top1	0.21	5.9e-13	 1.00110	3.17e-01
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000116688.16.wgt.RDat	ENSG00000116688.16	1	11980180	11980181	0.1486	rs3766730	-3.39	rs4845892	 1.87e-02	  3.82	 0.75526	444	  1	top1	0.019	0.026	 0.75526	4.50e-01
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000171729.13.wgt.RDat	ENSG00000171729.13	1	15152531	15152532	0.1384	rs10927805	 2.66	rs1780593	 4.29e-02	  4.63	 0.55347	556	556	susie	0.057	0.00027	 0.38118	7.03e-01
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000132906.17.wgt.RDat	ENSG00000132906.17	1	15526533	15526534	0.2065	rs10927805	 2.66	rs4646047	 8.17e-02	 -4.67	 1.98474	505	505	susie	0.083	1.2e-05	-1.96951	4.89e-02
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000162461.7.wgt.RDat	ENSG00000162461.7	1	15736404	15736405	0.2108	rs221060	-3.34	rs12744547	 1.10e-01	 -6.27	-0.47783	444	444	susie	0.13	5.4e-08	 0.52689	5.98e-01
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000162458.12.wgt.RDat	ENSG00000162458.12	1	15756606	15756607	0.2233	rs221060	-3.34	rs867321	 2.10e-02	  4.48	 1.29761	438	  7	lasso	0.028	0.0079	 1.61739	1.06e-01
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000186510.11.wgt.RDat	ENSG00000186510.11	1	16018874	16018875	0.1226	rs221060	-3.34	rs1763601	 1.36e-01	  5.53	-0.82397	384	384	susie	0.14	1.6e-08	-0.81564	4.15e-01
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000142632.16.wgt.RDat	ENSG00000142632.16	1	16212608	16212609	0.5126	rs221060	-3.34	rs221045	 4.49e-01	  9.90	 1.34539	333	333	susie	0.45	1.3e-29	 1.26684	2.05e-01
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000237276.8.wgt.RDat	ENSG00000237276.8	1	16228026	16228027	0.1759	rs221060	-3.34	rs221035	 1.95e-01	  6.66	 1.33842	322	  1	top1	0.2	8.3e-12	 1.33842	1.81e-01
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000132881.11.wgt.RDat	ENSG00000132881.11	1	16237161	16237162	0.1604	rs221060	-3.34	rs6693819	 6.14e-02	  5.56	-3.03462	316	316	susie	0.08	1.6e-05	-2.99941	2.71e-03
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000215908.10.wgt.RDat	ENSG00000215908.10	1	16657231	16657232	0.3844	rs221060	-3.34	rs696605	-4.74e-03	  3.64	 0.29415	255	 41	enet	0.027	0.0091	 1.11147	2.66e-01
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000186715.10.wgt.RDat	ENSG00000186715.10	1	16770236	16770237	0.1803	rs612727	-3.08	rs7513616	 7.06e-02	 -5.66	-2.49546	290	290	susie	0.11	3.4e-07	 2.58659	9.69e-03
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000235241.1.wgt.RDat	ENSG00000235241.1	1	16889094	16889095	0.2754	rs612727	-3.08	rs3738814	 2.12e-02	  5.22	 1.80001	338	 14	enet	0.1	8.2e-07	 1.93040	5.36e-02
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000238142.1.wgt.RDat	ENSG00000238142.1	1	16889648	16889649	0.3317	rs612727	-3.08	rs157252	 3.31e-02	  5.24	 0.28790	339	 23	enet	0.1	1.3e-06	 1.14325	2.53e-01
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000058453.16.wgt.RDat	ENSG00000058453.16	1	16921949	16921950	0.2180	rs761422	-2.67	rs6691985	 1.55e-01	  5.87	 2.56329	351	  1	top1	0.15	1.6e-09	 2.56329	1.04e-02
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000117122.13.wgt.RDat	ENSG00000117122.13	1	16980834	16980835	0.2331	rs761422	-2.67	rs7531163	 7.10e-02	 -5.21	 1.97607	344	344	susie	0.09	4.8e-06	-1.78858	7.37e-02
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000127463.13.wgt.RDat	ENSG00000127463.13	1	19251537	19251538	0.2986	rs3762388	-2.42	rs12062540	 1.35e-01	 -7.06	-0.63730	506	 28	enet	0.24	2.8e-14	 0.28657	7.74e-01
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000077549.17.wgt.RDat	ENSG00000077549.17	1	19485538	19485539	0.1700	rs10916668	 2.96	rs2268805	 1.20e-01	 -5.30	 0.98593	532	  1	top1	0.12	1.2e-07	-0.98593	3.24e-01
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000158747.13.wgt.RDat	ENSG00000158747.13	1	19640553	19640554	0.2543	rs10916668	 2.96	rs1320978	 1.41e-02	  3.77	 0.52737	528	528	susie	0.049	0.00071	-0.21184	8.32e-01
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000162542.13.wgt.RDat	ENSG00000162542.13	1	19799944	19799945	0.3265	rs10916668	 2.96	rs7513083	 1.23e-01	 -5.62	 0.27212	558	558	susie	0.12	8.9e-08	-0.48405	6.28e-01
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000227001.3.wgt.RDat	ENSG00000227001.3	1	21427966	21427967	0.3785	rs17458515	-3.19	rs4654947	 2.56e-01	 -7.42	-0.49667	381	381	susie	0.27	2.2e-16	 0.41644	6.77e-01
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000142794.18.wgt.RDat	ENSG00000142794.18	1	21440127	21440128	0.7651	rs17458515	-3.19	rs1827293	 4.64e-01	 10.15	-1.51971	384	 17	enet	0.63	4.4e-47	-1.52098	1.28e-01
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000218510.6.wgt.RDat	ENSG00000218510.6	1	22024530	22024531	0.8536	rs17458515	-3.19	rs11586488	 7.24e-01	 12.39	-2.05950	521	  9	lasso	0.73	5.5e-62	-1.97185	4.86e-02
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000169641.13.wgt.RDat	ENSG00000169641.13	1	23177807	23177808	0.1617	rs1832047	 3.01	rs2072944	 9.01e-02	  4.92	-2.18330	365	  1	top1	0.09	4.9e-06	-2.18330	2.90e-02
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000125945.14.wgt.RDat	ENSG00000125945.14	1	23368385	23368386	0.1878	rs1832047	 3.01	rs3795308	 7.63e-02	  5.07	-1.27429	309	  1	top1	0.076	2.6e-05	-1.27429	2.03e-01
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000249087.6.wgt.RDat	ENSG00000249087.6	1	23368996	23368997	0.1729	rs1832047	 3.01	rs3795308	 1.43e-01	  5.78	-1.27429	309	  1	top1	0.14	7.1e-09	-1.27429	2.03e-01
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000057757.9.wgt.RDat	ENSG00000057757.9	1	23778404	23778405	0.1046	rs17184553	 2.88	rs10903077	-1.42e-03	 -3.05	 1.11636	351	351	susie	0.029	0.0072	-0.07828	9.38e-01
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000001460.17.wgt.RDat	ENSG00000001460.17	1	24416933	24416934	0.2893	rs4437822	 3.64	rs760968	 1.38e-01	 -6.10	 0.51536	417	417	susie	0.18	9e-11	-0.88444	3.76e-01
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000001461.16.wgt.RDat	ENSG00000001461.16	1	24419290	24419291	0.1283	rs4437822	 3.64	rs3765888	 6.09e-02	 -5.03	 0.34686	418	418	susie	0.069	6.2e-05	-0.28913	7.72e-01
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000261349.1.wgt.RDat	ENSG00000261349.1	1	25267135	25267136	0.6103	rs4437822	 3.64	rs3091242	 5.56e-02	  5.29	 1.19160	356	356	susie	0.3	2.6e-18	 1.41179	1.58e-01
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000187010.19.wgt.RDat	ENSG00000187010.19	1	25272392	25272393	0.6016	rs4437822	 3.64	rs932372	 1.85e-01	  6.84	 0.97124	357	357	susie	0.39	1.3e-24	 1.22841	2.19e-01
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000224183.1.wgt.RDat	ENSG00000224183.1	1	25294642	25294643	0.6211	rs4437822	 3.64	rs11249248	 1.28e-01	  6.33	 0.96754	370	 21	enet	0.36	3e-22	 1.76179	7.81e-02
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000188672.17.wgt.RDat	ENSG00000188672.17	1	25430191	25430192	0.1789	rs380149	-2.40	rs3093647	 2.63e-02	  4.26	 0.21879	381	 25	enet	0.12	9.5e-08	 0.61273	5.40e-01
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000157978.11.wgt.RDat	ENSG00000157978.11	1	25543579	25543580	0.1855	rs298443	-3.74	rs3924486	 1.40e-01	  5.67	 0.30675	343	  1	top1	0.14	1.1e-08	 0.30675	7.59e-01
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000142675.17.wgt.RDat	ENSG00000142675.17	1	26177402	26177403	0.4953	rs298443	-3.74	rs12145714	 3.09e-01	 -8.19	 0.97491	439	 13	enet	0.36	1.5e-22	-1.12730	2.60e-01
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000158062.20.wgt.RDat	ENSG00000158062.20	1	26318362	26318363	0.0951	rs298443	-3.74	rs12090258	 3.77e-03	  3.16	 0.92842	394	394	susie	0.023	0.016	-0.37523	7.07e-01
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000117676.13.wgt.RDat	ENSG00000117676.13	1	26529760	26529761	0.1028	rs4970481	-2.47	rs11247894	-2.44e-03	  3.39	 0.09336	352	352	susie	0.019	0.025	-1.00002	3.17e-01
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000060642.10.wgt.RDat	ENSG00000060642.10	1	26787471	26787472	0.1207	rs4970481	-2.47	rs35615194	 1.48e-02	 -3.54	 0.76898	293	  4	lasso	0.037	0.0027	-0.21524	8.30e-01
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000117748.9.wgt.RDat	ENSG00000117748.9	1	27914745	27914746	0.2689	rs1292081	-2.38	rs2938867	 3.62e-02	  4.12	-0.00202	237	  8	lasso	0.1	1.1e-06	-0.47855	6.32e-01
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000158161.15.wgt.RDat	ENSG00000158161.15	1	28088695	28088696	0.1495	rs1292081	-2.38	rs490149	 1.09e-01	  5.53	-1.23980	238	238	susie	0.11	3e-07	-1.26531	2.06e-01
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000130770.17.wgt.RDat	ENSG00000130770.17	1	28236108	28236109	0.2301	rs6686978	-2.34	rs2938867	 9.42e-02	 -6.12	-0.00202	242	242	susie	0.12	1.1e-07	 0.08354	9.33e-01
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000270605.1.wgt.RDat	ENSG00000270605.1	1	28241452	28241453	0.1937	rs6686978	-2.34	rs2938867	 1.51e-01	 -6.34	-0.00202	244	244	susie	0.16	1.2e-09	 0.19257	8.47e-01
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000204138.12.wgt.RDat	ENSG00000204138.12	1	28369581	28369582	0.1773	rs6686978	-2.34	rs10751728	 1.76e-01	 -6.25	 0.71005	277	  1	top1	0.18	9.9e-11	-0.71005	4.78e-01
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000180198.15.wgt.RDat	ENSG00000180198.15	1	28505942	28505943	0.1666	rs6686978	-2.34	rs12025113	 3.43e-02	  3.87	 0.29429	274	  3	lasso	0.051	0.00053	 0.13363	8.94e-01
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000197989.13.wgt.RDat	ENSG00000197989.13	1	28582982	28582983	0.0682	rs6686978	-2.34	rs9426297	 1.43e-02	 -3.47	 0.34440	267	267	susie	0.025	0.011	-0.65094	5.15e-01
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000116353.15.wgt.RDat	ENSG00000116353.15	1	29230941	29230942	0.1704	rs12027089	 2.22	rs12057666	 7.43e-03	 -4.11	-0.72743	444	444	susie	0.041	0.0017	 0.29539	7.68e-01
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000168528.11.wgt.RDat	ENSG00000168528.11	1	31409564	31409565	0.2264	rs12401511	 2.39	rs4261154	 2.01e-02	 -4.09	 0.98267	382	  9	enet	0.025	0.011	-0.46745	6.40e-01
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000162517.12.wgt.RDat	ENSG00000162517.12	1	31644895	31644896	0.1043	rs601261	 2.55	rs3817398	 5.06e-02	 -4.70	 0.28111	352	352	susie	0.064	0.00011	-0.27510	7.83e-01
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000220785.7.wgt.RDat	ENSG00000220785.7	1	32241619	32241620	0.1573	rs17461632	 3.24	rs3795427	 1.19e-02	  3.75	 1.53096	202	202	susie	0.048	0.00077	 0.85280	3.94e-01
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000184389.9.wgt.RDat	ENSG00000184389.9	1	33321097	33321098	0.2142	rs10798983	-2.41	rs4641276	 9.89e-02	  5.96	-0.68532	434	434	susie	0.11	2.8e-07	-1.06964	2.85e-01
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000197056.9.wgt.RDat	ENSG00000197056.9	1	35059785	35059786	0.2011	rs4320749	-3.06	rs6425939	 7.35e-02	  4.94	-0.21726	279	  1	top1	0.073	3.6e-05	-0.21726	8.28e-01
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000126070.19.wgt.RDat	ENSG00000126070.19	1	35930717	35930718	0.0609	rs3795496	-2.15	rs96067	 4.50e-02	 -3.99	-1.21875	248	  1	top1	0.045	0.0011	 1.21875	2.23e-01
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000271554.1.wgt.RDat	ENSG00000271554.1	1	36013628	36013629	0.1262	rs3795496	-2.15	rs274754	 1.65e-02	 -4.16	-0.50388	274	 14	enet	0.042	0.0015	 0.97948	3.27e-01
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000116883.8.wgt.RDat	ENSG00000116883.8	1	36323733	36323734	0.4161	rs6698957	 3.50	rs12116935	 8.00e-02	  5.55	 0.88248	351	  4	lasso	0.15	2.8e-09	 0.67663	4.99e-01
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000233621.1.wgt.RDat	ENSG00000233621.1	1	37474410	37474411	0.4530	rs11485595	 4.81	rs2245867	 2.30e-01	 -7.98	 1.13957	434	434	susie	0.39	5.2e-25	-1.79766	7.22e-02
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000163875.15.wgt.RDat	ENSG00000163875.15	1	37514773	37514774	0.2322	rs11485595	 4.81	rs11583122	 9.60e-02	 -5.00	 2.93764	447	447	susie	0.098	1.9e-06	-2.74620	6.03e-03
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000163879.10.wgt.RDat	ENSG00000163879.10	1	37556918	37556919	0.2420	rs11485595	 4.81	rs215207	 5.57e-02	  5.83	 0.29719	449	 21	enet	0.14	7.7e-09	-1.32729	1.84e-01
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000204084.12.wgt.RDat	ENSG00000204084.12	1	37947056	37947057	0.4807	rs11485595	 4.81	rs36084352	 2.18e-01	 -7.15	 3.24206	461	 23	enet	0.25	5.1e-15	-3.88960	1.00e-04
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000183431.11.wgt.RDat	ENSG00000183431.11	1	37990920	37990921	0.2850	rs11485595	 4.81	rs7366048	 1.33e-01	  6.14	-4.25829	470	  1	top1	0.13	2.5e-08	-4.25829	2.06e-05
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000183386.9.wgt.RDat	ENSG00000183386.9	1	38005605	38005606	0.2710	rs11485595	 4.81	rs7366048	 1.76e-01	  6.64	-4.25829	466	466	susie	0.18	6.2e-11	-4.52354	6.08e-06
GTExv8.ALL.Artery_Coronary	.//GTExv8.ALL.Artery_Coronary/ENSG00000183520.11.wgt.RDat	ENSG00000183520.11	1	38009257	38009258	0.1537	rs11485595	 4.81	rs17531077	 1.14e-01	  5.16	-4.39455	464	  1	top1	0.11	2.6e-07	-4.39455	1.11e-05
